epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,266.357,1.74028,0.77305,0.92425,0.71425,0.5,0.58123,0.17438,2.93938,1.32843,1.39386,0.00158118,0.00158118,0.00158118
106,268.894,1.75794,0.79712,0.91493,0.73249,0.57093,0.59882,0.16198,2.92953,1.70535,1.41359,0.00158036,0.00158036,0.00158036
107,271.469,1.60507,0.74739,0.91936,0.73076,0.566,0.62544,0.15687,2.89628,1.72349,1.36466,0.00157953,0.00157953,0.00157953
108,273.988,1.65269,0.75239,0.90798,0.79696,0.45833,0.56302,0.14052,2.93229,1.74798,1.33071,0.00157871,0.00157871,0.00157871
109,276.472,1.73183,0.76353,0.90664,0.73432,0.33333,0.41011,0.09951,2.98155,1.76985,1.39665,0.00157788,0.00157788,0.00157788
110,278.951,1.7047,0.77336,0.91183,0.6881,0.64392,0.68552,0.16908,2.8231,1.50507,1.33489,0.00157706,0.00157706,0.00157706
111,281.43,1.64109,0.72315,0.88582,0.61035,0.54167,0.63162,0.14686,2.91372,1.33035,1.37874,0.00157623,0.00157623,0.00157623
112,283.968,1.75289,0.77161,0.93127,0.43471,0.25,0.25793,0.08574,3.093,1.80196,1.46828,0.00157541,0.00157541,0.00157541
113,286.404,1.70237,0.79166,0.93059,0.52595,0.70833,0.47143,0.1308,2.98699,1.32291,1.39469,0.00157458,0.00157458,0.00157458
114,288.899,1.69238,0.77342,0.92603,0.48398,0.78178,0.54778,0.17767,2.95007,1.35343,1.31799,0.00157376,0.00157376,0.00157376
115,291.445,1.67111,0.74938,0.92335,0.75639,0.41667,0.54086,0.13633,3.008,1.32922,1.36061,0.00157293,0.00157293,0.00157293
116,294.002,1.70097,0.77045,0.90769,0.69464,0.58333,0.63895,0.13661,2.97381,1.46337,1.41263,0.00157211,0.00157211,0.00157211
117,296.467,1.6713,0.75741,0.90886,0.80515,0.75,0.74889,0.15258,2.93198,1.23363,1.37748,0.00157128,0.00157128,0.00157128
118,298.981,1.6366,0.73136,0.90111,0.81107,0.58333,0.65491,0.15906,3.00458,1.16092,1.39438,0.00157046,0.00157046,0.00157046
119,301.459,1.66525,0.76583,0.90156,0.69661,0.57438,0.62629,0.16274,3.02414,1.19278,1.36552,0.00156963,0.00156963,0.00156963
120,304.023,1.61061,0.70905,0.88526,0.7539,0.66667,0.66454,0.18868,2.91077,1.2405,1.33382,0.00156881,0.00156881,0.00156881
121,306.497,1.66294,0.74767,0.9291,0.51001,0.45833,0.49129,0.11443,3.12478,1.61691,1.46637,0.00156798,0.00156798,0.00156798
122,308.986,1.67394,0.74791,0.89365,0.72227,0.625,0.66666,0.16902,2.9703,1.32745,1.37425,0.00156716,0.00156716,0.00156716
123,311.487,1.89639,0.83862,0.9467,0.63788,0.25,0.26895,0.07329,3.27943,1.76596,1.51338,0.00156633,0.00156633,0.00156633
124,313.961,1.76925,0.76409,0.92129,0.70351,0.54167,0.6383,0.16536,2.9189,1.41816,1.41046,0.0015655,0.0015655,0.0015655
125,316.43,1.68921,0.76707,0.88927,0.59385,0.54167,0.52858,0.14785,3.0547,1.36273,1.42443,0.00156468,0.00156468,0.00156468
126,318.895,1.63246,0.72265,0.91458,0.5758,0.58333,0.52808,0.14509,3.03668,1.23257,1.42568,0.00156385,0.00156385,0.00156385
127,321.443,1.65279,0.74079,0.91171,0.61592,0.625,0.595,0.13959,3.15588,1.20606,1.51614,0.00156303,0.00156303,0.00156303
128,323.994,1.62827,0.74906,0.89632,0.57544,0.58333,0.54591,0.13727,3.14845,1.21953,1.53182,0.0015622,0.0015622,0.0015622
129,326.479,1.61114,0.72998,0.92447,0.3774,0.45833,0.42589,0.14235,3.17858,1.25945,1.45411,0.00156138,0.00156138,0.00156138
130,328.933,1.60574,0.73392,0.89707,0.66076,0.45833,0.49033,0.1574,3.03198,1.40411,1.39307,0.00156055,0.00156055,0.00156055
131,331.502,1.61723,0.76947,0.86586,0.71705,0.75,0.70416,0.17737,2.78665,1.41071,1.29191,0.00155973,0.00155973,0.00155973
132,334.079,1.56026,0.73397,0.90019,0.66796,0.625,0.59863,0.14702,2.96999,1.22009,1.40506,0.0015589,0.0015589,0.0015589
133,336.632,1.66339,0.75108,0.91705,0.73612,0.70833,0.667,0.12943,3.01982,1.24423,1.43608,0.00155808,0.00155808,0.00155808
134,339.088,1.62079,0.71265,0.90086,0.55312,0.61906,0.54976,0.14125,3.10713,1.17236,1.44874,0.00155725,0.00155725,0.00155725
135,341.574,1.56354,0.69878,0.85825,0.53542,0.66667,0.59056,0.14563,3.10371,1.22481,1.41676,0.00155643,0.00155643,0.00155643
136,344.08,1.61049,0.73944,0.89118,0.59838,0.62096,0.55372,0.12646,3.04794,1.26737,1.40254,0.0015556,0.0015556,0.0015556
137,346.544,1.72267,0.75401,0.92014,0.64425,0.58333,0.54189,0.11872,3.05777,1.2941,1.3943,0.00155478,0.00155478,0.00155478
138,349.107,1.63115,0.71255,0.91381,0.49189,0.45833,0.36292,0.0875,3.0584,1.72917,1.37713,0.00155395,0.00155395,0.00155395
139,351.668,1.65533,0.75335,0.89476,0.60746,0.5,0.43132,0.13234,3.10208,1.562,1.40398,0.00155313,0.00155313,0.00155313
140,354.208,1.67843,0.72944,0.89436,0.72658,0.25,0.33767,0.10836,3.25431,1.27311,1.4994,0.0015523,0.0015523,0.0015523
141,356.702,1.56337,0.88182,0.85059,0.34623,0.58333,0.38306,0.10029,3.17174,1.52113,1.46518,0.00155148,0.00155148,0.00155148
142,359.25,1.62428,0.78715,0.89829,0.54418,0.5,0.44704,0.13806,3.0497,1.61528,1.43045,0.00155065,0.00155065,0.00155065
143,361.766,1.71087,0.74634,0.90962,0.53599,0.45833,0.467,0.13067,3.02898,1.42371,1.3919,0.00154983,0.00154983,0.00154983
144,364.257,1.66102,0.76837,0.89546,0.62297,0.55111,0.49672,0.14894,2.90825,1.47016,1.40764,0.001549,0.001549,0.001549
145,366.771,1.63121,0.74247,0.90423,0.78511,0.70833,0.7053,0.19018,2.85362,1.12059,1.32804,0.00154818,0.00154818,0.00154818
146,369.281,1.60586,0.7346,0.89718,0.77478,0.75,0.71034,0.20513,2.76129,1.24562,1.32044,0.00154735,0.00154735,0.00154735
147,371.784,1.63524,0.71409,0.9078,0.65159,0.70833,0.60894,0.17585,2.8354,1.26002,1.33466,0.00154653,0.00154653,0.00154653
148,374.31,1.59095,0.72097,0.89332,0.7271,0.77748,0.66848,0.1779,2.83136,1.20523,1.30159,0.0015457,0.0015457,0.0015457
149,376.841,1.62773,0.72252,0.91861,0.61186,0.66667,0.62228,0.17925,2.93991,1.20147,1.37438,0.00154488,0.00154488,0.00154488
150,379.318,1.57222,0.71364,0.84466,0.59269,0.5,0.55616,0.1473,3.07211,1.35669,1.46149,0.00154405,0.00154405,0.00154405
151,381.827,1.5923,0.71769,0.91477,0.58898,0.53755,0.54876,0.14997,3.05592,1.23746,1.44382,0.00154323,0.00154323,0.00154323
152,384.51,1.59672,0.73005,0.89272,0.68897,0.625,0.62089,0.15139,3.02623,1.20053,1.4518,0.0015424,0.0015424,0.0015424
153,386.985,1.60533,0.72658,0.9303,0.54698,0.625,0.46142,0.11736,3.10542,1.38435,1.46338,0.00154157,0.00154157,0.00154157
154,389.504,1.59066,0.72198,0.89714,0.65261,0.70833,0.68564,0.17932,2.91829,1.32059,1.38015,0.00154075,0.00154075,0.00154075
155,391.988,1.57242,0.70111,0.89708,0.59681,0.70833,0.64123,0.15222,3.15137,1.19364,1.45495,0.00153992,0.00153992,0.00153992
156,394.553,1.57121,0.71355,0.88037,0.63266,0.71789,0.68723,0.16467,3.08293,1.10512,1.48341,0.0015391,0.0015391,0.0015391
157,397.033,1.59688,0.72346,0.92507,0.63636,0.58332,0.55256,0.12415,3.15274,1.20975,1.56902,0.00153827,0.00153827,0.00153827
158,399.474,1.55065,0.71982,0.90987,0.77579,0.5,0.51146,0.14966,3.09534,1.46371,1.53181,0.00153745,0.00153745,0.00153745
159,401.97,1.66248,0.71529,0.92076,0.83215,0.41341,0.47478,0.13796,3.21153,1.41502,1.55895,0.00153662,0.00153662,0.00153662
160,404.494,1.68328,0.7354,0.91496,0.58506,0.54167,0.49406,0.15398,3.02113,1.3019,1.47164,0.0015358,0.0015358,0.0015358
161,407.072,1.65678,0.74083,0.90743,0.66173,0.57098,0.57695,0.15861,2.98252,1.34333,1.45045,0.00153497,0.00153497,0.00153497
162,409.557,1.61704,0.71619,0.90605,0.51972,0.375,0.33728,0.10782,3.10158,1.55271,1.52618,0.00153415,0.00153415,0.00153415
163,412.002,1.51735,0.71857,0.84771,0.49841,0.375,0.41198,0.13348,2.98044,1.60304,1.39019,0.00153332,0.00153332,0.00153332
164,414.551,1.56271,0.706,0.89295,0.56135,0.33333,0.39738,0.14106,2.98685,1.49156,1.39211,0.0015325,0.0015325,0.0015325
165,417.063,1.59189,0.74436,0.90975,0.49035,0.45833,0.45431,0.12991,3.09969,1.43953,1.46687,0.00153167,0.00153167,0.00153167
166,419.569,1.61754,0.76644,0.91114,0.63591,0.58223,0.57476,0.16564,2.91617,1.39424,1.33219,0.00153085,0.00153085,0.00153085
